25,17.5,2,7.11,4.435
25,17.5,4,2.46,1.84
26,17.5,2,10.31,6.39
26,17.5,4,4.25,2.67
27,17.5,2,6.01,3.9
27,17.5,4,2.65,2.15
28,17.5,2,4.97,3.54
28,17.5,4,1.62,1.16
29,17.5,2,8.21,5.65
29,17.5,4,3.05,2.47
30,17.5,2,5.66,4.58
31,17.5,2,7.77,5.06
31,17.5,4,3.64,2.18
32,17.5,2,12.36,8.44
32,17.5,4,5.76,3.8
33,17.5,2,9.04,7.52
33,17.5,4,4.96,3.45
34,17.5,2,11.28,7.345
34,17.5,4,4.31,2.79
35,17.5,2,11.46,8.635
35,17.5,4,6.35,4.38
36,17.5,2,6.19,3.95
36,17.5,4,2.92,1.85
37,17.5,2,8.85,5.59
37,17.5,4,4.73,2.87
38,17.5,2,10.65,6.33
38,17.5,4,3.96,3.03
39,17.5,2,7.37,5.36
39,17.5,4,3.61,2.16
40,17.5,2,11.48,8.62
41,17.5,2,12.82,8.48
41,17.5,4,6.94,4.14
42,17.5,2,10.25,8.58
